time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,29,12,0,0
2026-06-16 00:00:00+00:00,20,10,0,0
2026-06-17 00:00:00+00:00,34,12,6,1
2026-06-18 00:00:00+00:00,28,9,0,0
2026-06-19 00:00:00+00:00,40,10,1,1
2026-06-20 00:00:00+00:00,22,7,0,0
2026-06-21 00:00:00+00:00,37,8,0,0
2026-06-22 00:00:00+00:00,44,10,2,1
2026-06-23 00:00:00+00:00,45,15,28,3
2026-06-24 00:00:00+00:00,15,5,1,1
2026-06-25 00:00:00+00:00,30,9,4,3
2026-06-26 00:00:00+00:00,15,6,0,0
2026-06-27 00:00:00+00:00,13,7,0,0
2026-06-28 00:00:00+00:00,16,7,1,1
